,pid,stimulus_number,coordinates,current_time,current_time1,geometry,int.1,-----------.1,afunc.1,int.2,-----------.2,num1.1,int.3,num2.1,if.1,num1.2,==.1,0.1,return.1,num2.2,+.1,num1.3,-----------.4,else.1,if.2,num2.3,==.2,0.2,return.2,num1.4,*.1,2.1,-----------.5,else.2,return.3,afunc.2,num1.5,-.1,1.1,num2.4,-.2,1.2,-----------.8,-----------.9,-----------.10,question,code,choices
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964499974,2221323561,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964516646,2221340233,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964533314,2221356900,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964549981,2221373567,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964566649,2221390234,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964583315,2221406900,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964599983,2221423567,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964616649,2221440233,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964633317,2221456900,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964649988,2221473571,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964666655,2221490237,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964683323,2221506905,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964699992,2221523573,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964716659,2221540240,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964733326,2221556906,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964749993,2221573573,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964766660,2221590240,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964783331,2221606910,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964799998,2221623577,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964816666,2221640244,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964833330,2221656908,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964849998,2221673575,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964866664,2221690241,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964883332,2221706908,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,57,21,"{'x': 784.0791300389625, 'y': 706.4539076560712, 'elapsedTime': 49511}",508964900003,2221723579,POINT (0.408374546895293 0.6541239885704363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
