,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,Breadth-first.1,BFS.1,is.1,equivalent.1,which.1,type.1,traversal.1,in.1,trees.1,question,code,choices
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319871615,7981492269,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319888284,7981508938,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319904952,7981525605,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319921618,7981542271,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319938286,7981558938,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319954953,7981575605,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319971620,7981592271,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338319988287,7981608938,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320004959,7981625609,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320021626,7981642276,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320038294,7981658943,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320054960,7981675609,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320071628,7981692276,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320088295,7981708943,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320104962,7981725609,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320121629,7981742276,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320138303,7981758949,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320154969,7981775615,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320171637,7981792282,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320188304,7981808949,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320204971,7981825615,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320221638,7981842282,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320238306,7981858949,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320254973,7981875615,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320271646,7981892288,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320288312,7981908953,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320304978,7981925619,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320321646,7981942286,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320338313,7981958953,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320354980,7981975619,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320371647,7981992286,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320388315,7982008953,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320404985,7982025623,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320421653,7982042290,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
0,59,8,"{'x': 634.8433835238307, 'y': 623.3179271606921, 'elapsedTime': 35686.89999997616}",338320438320,7982058957,POINT (0.3306475955853285 0.5771462288524927),,,,,,,,,,,,1,
