,pid,stimulus_number,coordinates,current_time,current_time1,geometry,-----------.1,std::vector<int>.1,sequence.1,int.1,start.1,int.2,end.1,int.3,diff.1,-----------.2,std::vector<int>.2,result.1,if.1,start.2,>.1,end.2,return.1,result.2,-----------.5,else.1,while.1,start.3,<=.1,end.3,result.3,push_back.1,end.4,-----------.8,end.5,-=.1,diff.2,-----------.10,return.2,result.4,-----------.11,-----------.12,question,code,choices
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950482328,5612175292,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950498994,5612191958,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950515662,5612208625,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950532329,5612225292,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950548996,5612241958,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950565663,5612258625,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950582331,5612275292,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950599003,5612291964,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950615671,5612308631,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950632338,5612325298,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950649005,5612341964,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950665672,5612358631,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950682340,5612375298,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950699006,5612391964,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950715674,5612408631,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950732344,5612425301,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950749012,5612441968,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950765679,5612458635,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950782346,5612475301,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950799013,5612491968,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950815681,5612508635,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950832347,5612525301,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950849015,5612541968,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950865687,5612558640,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950882354,5612575306,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950899021,5612591973,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,59,13,"{'x': 730.129157212582, 'y': 545.3263661921934, 'elapsedTime': 59835.200000047684}",335950915689,5612608640,POINT (0.3802756027148864 0.5049318205483272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
